idpessoa,uf,cidade,risk_score,confidence,abc,ltv
0100AVM8CN,SP,"Pilar do Sul",86.47,69.50,A,1742.08
0100AR8QC3,SP,"Pilar do Sul",98.47,69.50,A,942.03
0100BGF72W,SP,"Pilar do Sul",99.41,66.50,A,195.18
0100C5D95W,SP,"Pilar do Sul",97.93,66.50,B,79.38
0100C36Q5B,SP,"Pilar do Sul",97.21,68.00,C,30.29
0100015M60,SP,"Pilar do Sul",98.31,66.50,C,21.84
0100CDDROZ,SP,"Pilar do Sul",97.91,66.50,C,9.66
0100E0A4A4,SP,"Pilar do Sul",81.30,66.50,C,7.00
0100076V2F,SP,"Pilar do Sul",100.00,90.00,null,null
0100047L4I,SP,"Pilar do Sul",100.00,90.00,null,null
010001IE6L,SP,"Pilar do Sul",100.00,90.00,null,null
0100080AC3,SP,"Pilar do Sul",100.00,90.00,null,null
010002GD0E,SP,"Pilar do Sul",100.00,90.00,null,null
010004AEAZ,SP,"Pilar do Sul",100.00,90.00,null,null
0100078KCX,SP,"Pilar do Sul",100.00,90.00,null,null
0100080Z1W,SP,"Pilar do Sul",100.00,90.00,null,null
010007PMD1,SP,"Pilar do Sul",100.00,90.00,null,null
010003SI2R,SP,"Pilar do Sul",100.00,90.00,null,null
010002R979,SP,"Pilar do Sul",100.00,90.00,null,null
010005T86B,SP,"Pilar do Sul",100.00,90.00,null,null
0100AR5E3A,SP,"Pilar do Sul",100.00,90.00,null,null
010005GE6F,SP,"Pilar do Sul",100.00,90.00,null,null
0100050LAE,SP,"Pilar do Sul",100.00,90.00,null,null
0100ER4I00,SP,"Pilar do Sul",100.00,90.00,null,null
010004LO5J,SP,"Pilar do Sul",100.00,90.00,null,null
